sn,data,date,param,siteid
1,0,01/01/2003, Precipitation,ACRE
2,0,02/01/2003, Precipitation,AlbertLea
3,11.31999969,03/01/2003, Precipitation,Ames
4,0,04/01/2003, Precipitation,Antigo
5,3.039999962,05/01/2003, Precipitation,Appleton
6,0.49000001,06/01/2003, Precipitation,Arlington
7,0,07/01/2003, Precipitation,Bean&Beet
8,0,08/01/2003, Precipitation,Brookings
9,0,09/01/2003, Precipitation,Brownstown
10,0,10/01/2003, Precipitation,Columbia
11,0,11/01/2003, Precipitation,Crookston
12,0,12/01/2003, Precipitation,Dekalb
13,0,13/01/2003, Precipitation,DixonSprings
14,1.049999952,14/01/2003, Precipitation,DPAC
15,0,15/01/2003, Precipitation,EastLansing
16,0.200000003,16/01/2003, Precipitation,EauClaire
17,1.279999971,17/01/2003, Precipitation,Freeport
18,0,18/01/2003, Precipitation,Hancock
19,0.730000019,19/01/2003, Precipitation,Joilet
20,1.100000024,20/01/2003, Precipitation,Kellogg
21,0,21/01/2003, Precipitation,Lamberton
22,0,22/01/2003, Precipitation,Lancaster
23,0,23/01/2003, Precipitation,Lexington
24,0,24/01/2003, Precipitation,Manhattan
25,0,25/01/2003, Precipitation,McNay
26,2.119999886,26/01/2003, Precipitation,Metamora
27,0,27/01/2003, Precipitation,Monmouth
28,0,28/01/2003, Precipitation,Monroe
29,4.440000057,29/01/2003, Precipitation,MorrisIL
30,0,30/01/2003, Precipitation,MorrisMN
31,0.340000004,31/01/2003, Precipitation,Nashua
32,5.650000095,01/02/2003, Precipitation,NEPAC
33,1.529999971,02/02/2003, Precipitation,Oceana
34,0,03/02/2003, Precipitation,Perry
35,6.599999905,04/02/2003, Precipitation,PIT
36,0,05/02/2003, Precipitation,Portageville
37,0.49000001,06/02/2003, Precipitation,PPAC
38,0.310000002,07/02/2003, Precipitation,Princeton
39,0,08/02/2003, Precipitation,Rhinelander
40,0,09/02/2003, Precipitation,Rosemount
41,0.850000024,10/02/2003, Precipitation,Sanilac
42,0.74000001,11/02/2003, Precipitation,SEPAC
43,0,12/02/2003, Precipitation,Seymour
44,0,13/02/2003, Precipitation,Sutherland
45,0,14/02/2003, Precipitation,Urbana
46,7.239999771,15/02/2003, Precipitation,Walworth
47,0.579999983,16/02/2003, Precipitation,ACRE
48,0,17/02/2003, Precipitation,AlbertLea
49,0,18/02/2003, Precipitation,Ames
